,Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
0,OCC1(CCCC1)C=2C=CC=CC2,3.369,1.565,2.843,3.751,3.234,2.127,3.5569999999999995,3.4589999999999996
1,CN1C=C(C=N1)S(=O)(=O)N2CCCC2,1.625,1.6350000000000002,1.6469999999999998,1.6600000000000001,1.9819999999999998,1.8889999999999998,2.006,1.8479999999999999
2,NCC=1C(F)=CC=CC1OC(F)F,1.193,1.2610000000000001,0.9099999999999999,1.734,1.315,1.4619999999999997,1.479,1.5230000000000001
3,CSC=1N=C(O)C=C(N1)C(F)(F)F,2.404,1.7190000000000003,2.199,1.133,2.528,1.7919999999999998,2.775,1.657
4,CC=1ON=C(C1C(=O)O)C=2C=CC=CC2Cl,2.745,1.0979999999999999,2.725,0.6280000000000001,2.925,1.2719999999999998,3.032,1.093
5,CSC=1N=CC(O)=CN1,1.294,1.2519999999999998,1.2570000000000001,1.067,1.4619999999999997,1.399,1.694,1.4259999999999997
6,FC(F)(F)C1CCCNC1=O,1.33,1.3330000000000002,0.998,1.008,1.5230000000000001,1.5019999999999998,1.7149999999999999,1.533
7,NS(=O)(=O)CC=1C=CC(F)=CC1,1.513,1.5220000000000002,1.37,1.379,1.883,1.783,2.0829999999999997,1.713
8,N#CC1(CCOCC1)N2CCCC2,0.7719999999999999,,0.661,,,,,
9,CC(=CC1CCCC1)C(=O)O,3.2075,2.1350000000000002,2.73,0.988,3.2110000000000003,2.114,3.4239999999999995,2.109
10,CC(O)CNS(=O)(=O)C=1C=C(C)C=CC1C,2.3970000000000002,2.398,2.249,2.262,2.656,2.531,2.772,2.654
11,CC=1C=CC(F)=C(C1)S(=O)(=O)N2CCNC(=O)C2,2.072,2.0740000000000003,2.159,2.164,2.4459999999999997,2.3249999999999997,2.504,2.389
12,CCC1=C(N)C=NN1C=2C=CC=C(Cl)C2,1.8400000000000003,2.592,1.6070000000000002,2.498,2.169,2.749,2.175,3.0469999999999997
13,FC=1C=CC(Br)=C(C1)C(=O)N2CCNCC2,1.2890000000000001,1.431,1.0010000000000001,1.9209999999999998,1.6360000000000001,1.717,1.58,2.171
14,CN1CCN(CC1)S(=O)(=O)C=2C=C(F)C=CC2F,1.5860000000000003,2.539,1.5,2.603,1.9499999999999997,2.7079999999999997,1.9140000000000001,2.971
15,CC1(CCCCN1CC2=CN=CS2)C(=O)N,0.30500000000000005,1.9850000000000003,0.28200000000000003,2.116,0.8370000000000001,2.1999999999999997,0.803,2.448
16,OC1(CN2C=NC=3SC=CC3C2=O)CCCCC1,2.365,2.3680000000000003,2.286,2.287,2.621,2.534,2.734,2.739
17,O=S(=O)(N1CCCCC1)C=2C=CC=C(C#N)C2,3.271,3.27,3.066,3.067,3.534,3.436,3.487,3.4749999999999996
18,CNS(=O)(=O)C=1C=C(C(C)C)C(C)=CC1OC,3.3400000000000003,3.3360000000000003,3.028,2.999,3.498,3.4050000000000002,3.5709999999999997,3.5839999999999996
19,CC(C)(C)C=1N=CC=C(O)N1,0.684,1.129,0.591,1.033,0.9820000000000001,1.2519999999999998,1.166,1.4619999999999997
