smiles,RT
OCC1(CCCC1)C=2C=CC=CC2,0
CN1C=C(C=N1)S(=O)(=O)N2CCCC2,1
NCC=1C(F)=CC=CC1OC(F)F,2
CSC=1N=C(O)C=C(N1)C(F)(F)F,3
CC=1ON=C(C1C(=O)O)C=2C=CC=CC2Cl,4
CSC=1N=CC(O)=CN1,5
FC(F)(F)C1CCCNC1=O,6
NS(=O)(=O)CC=1C=CC(F)=CC1,7
N#CC1(CCOCC1)N2CCCC2,8
CC(=CC1CCCC1)C(=O)O,9
CC(O)CNS(=O)(=O)C=1C=C(C)C=CC1C,10
CC=1C=CC(F)=C(C1)S(=O)(=O)N2CCNC(=O)C2,11
CCC1=C(N)C=NN1C=2C=CC=C(Cl)C2,12
FC=1C=CC(Br)=C(C1)C(=O)N2CCNCC2,13
CN1CCN(CC1)S(=O)(=O)C=2C=C(F)C=CC2F,14
CC1(CCCCN1CC2=CN=CS2)C(=O)N,15
OC1(CN2C=NC=3SC=CC3C2=O)CCCCC1,16
O=S(=O)(N1CCCCC1)C=2C=CC=C(C#N)C2,17
CNS(=O)(=O)C=1C=C(C(C)C)C(C)=CC1OC,18
CC(C)(C)C=1N=CC=C(O)N1,19
CC=1C=C(C(C)=CC1Cl)S(=O)(=O)NCCO,20
CC(C)C(N)C1=NC(=NO1)C=2C=CC=CC2,21
FC=1C(Cl)=CC=CC1C(=O)N2CCOCC2,22
CCC1=NN=C(SC2CCCCNC2=O)N1,23
CN1CC(CC1=O)NS(=O)(=O)C=2C=CC=CC2Cl,24
CN(C1CCCC=2C=CC=CC12)S(=O)(=O)N,25
CNCC1CCCN1S(=O)(=O)C=2C=CC=C(Cl)C2,26
NC(=O)C1C2CC3CC(C2)CC1C3,27
CC=1C=CC(=CC1C)S(=O)(=O)NCCO,28
CC1(CC1)C=2C=CNN2,29
O=C(N1CC=2C=CC=CC2C1)C3(CCCC3)C#N,30
N[C@H]1CCN(C1)C(=O)C=2C=CC=C(F)C2F,31
