smiles,RT
OCC1(CCCC1)C=2C=CC=CC2,0
CN1C=C(C=N1)S(=O)(=O)N2CCCC2,1
NCC=1C(F)=CC=CC1OC(F)F,2
CSC=1N=C(O)C=C(N1)C(F)(F)F,3
CC=1ON=C(C1C(=O)O)C=2C=CC=CC2Cl,4
CSC=1N=CC(O)=CN1,5
FC(F)(F)C1CCCNC1=O,6
NS(=O)(=O)CC=1C=CC(F)=CC1,7
N#CC1(CCOCC1)N2CCCC2,8
CC(=CC1CCCC1)C(=O)O,9
CC(O)CNS(=O)(=O)C=1C=C(C)C=CC1C,10
CCC1=C(N)C=NN1C=2C=CC=C(Cl)C2,11
FC=1C=CC(Br)=C(C1)C(=O)N2CCNCC2,12
CN1CCN(CC1)S(=O)(=O)C=2C=C(F)C=CC2F,13
CC1(CCCCN1CC2=CN=CS2)C(=O)N,14
OC1(CN2C=NC=3SC=CC3C2=O)CCCCC1,15
O=S(=O)(N1CCCCC1)C=2C=CC=C(C#N)C2,16
CNS(=O)(=O)C=1C=C(C(C)C)C(C)=CC1OC,17
CC=1C=C(C(C)=CC1Cl)S(=O)(=O)NCCO,18
CC(C)C(N)C1=NC(=NO1)C=2C=CC=CC2,19
CC(C)CC1(CO)CCCN1,20
FC=1C(Cl)=CC=CC1C(=O)N2CCOCC2,21
CCC1=NN=C(SC2CCCCNC2=O)N1,22
CN1CC(CC1=O)NS(=O)(=O)C=2C=CC=CC2Cl,23
CC(C)(NC(=O)C1CNC(=O)C1)C=2C=CC=CC2,24
CN(C1CCCC=2C=CC=CC12)S(=O)(=O)N,25
NC(=O)C1C2CC3CC(C2)CC1C3,26
CC=1C=CC(=CC1C)S(=O)(=O)NCCO,27
CC1(CC1)C=2C=CNN2,28
O=C(N1CC=2C=CC=CC2C1)C3(CCCC3)C#N,29
CC(C)(C)NC(=O)CC1=NOC=2C=CC=CC12,30
CC1(C)COCCN1C(=O)C=2C=CC(F)=C(F)C2,31
