smiles,RT
NCC=1C(F)=CC=CC1OC(F)F,0
CSC=1N=C(O)C=C(N1)C(F)(F)F,1
CC=1ON=C(C1C(=O)O)C=2C=CC=CC2Cl,2
NS(=O)(=O)CC=1C=CC(F)=CC1,3
N#CC1(CCOCC1)N2CCCC2,4
CC(=CC1CCCC1)C(=O)O,5
CC=1C=CC(F)=C(C1)S(=O)(=O)N2CCNC(=O)C2,6
CCC1=C(N)C=NN1C=2C=CC=C(Cl)C2,7
FC=1C=CC(Br)=C(C1)C(=O)N2CCNCC2,8
CC1(CCCCN1CC2=CN=CS2)C(=O)N,9
CNS(=O)(=O)C=1C=C(C(C)C)C(C)=CC1OC,10
CC(C)(C)C=1N=CC=C(O)N1,11
CC=1C=C(C(C)=CC1Cl)S(=O)(=O)NCCO,12
CC(C)C(N)C1=NC(=NO1)C=2C=CC=CC2,13
CC(C)CC1(CO)CCCN1,14
FC=1C(Cl)=CC=CC1C(=O)N2CCOCC2,15
CN1CC(CC1=O)NS(=O)(=O)C=2C=CC=CC2Cl,16
CC(C)(NC(=O)C1CNC(=O)C1)C=2C=CC=CC2,17
CN(C1CCCC=2C=CC=CC12)S(=O)(=O)N,18
CNCC1CCCN1S(=O)(=O)C=2C=CC=C(Cl)C2,19
NC(=O)C1C2CC3CC(C2)CC1C3,20
CC1(CC1)C=2C=CNN2,21
N[C@H]1CCN(C1)C(=O)C=2C=CC=C(F)C2F,22
FC=1C=CC=C(CC(=O)NC=2SC=CC2C#N)C1,23
FC(F)OC=1C=CC=CC1C(=O)N2CCSCC2,24
OC1(CCOCC1)C=2C=CC=CC2,25
CCCNS(=O)(=O)C=1C=CC(C)=C(C)C1,26
CS(=O)(=O)NC=1C=CC=CC1N2CCCCC2,27
CC=1C=CC(CS(=O)(=O)C2=NC=CN2C)=CC1,28
CCN1C(NC2(CCCC2)C1=O)C3=CN=CS3,29
FC(F)(F)C=1C=CC=CC1C(=O)N2CCSCC2,30
CCC1CCCN(C1)C(=O)C=2C(C)=NSC2NC,31
CNC(=O)C=1C=CC=NC1SC(C)C,32
NC(C=1C=CC=CC1)C(F)(F)F,33
CC(C)C1=NC(CO)=NN1,34
CC=1C=CC(NS(=O)(=O)C=2C=CC=CC2)=NC1,35
CNC=1C=CC(=CC1)S(=O)(=O)N(C)C,36
FC=1C=CC=C2C1NCC32CCCC3,37
CC=1C=CN(CC=2C=CC(C#N)=CC2F)C(=O)C1,38
CC(C)CN1C=NC(=C1)S(=O)(=O)N2CCC32CCC3,39
CC1(C)COCCN1CC=2C=CC(C#N)=CC2F,40
CNC(=O)C1CC1C=2C=CC=C(Cl)C2,41
FC=1C=CC=C(F)C1C(=O)N2CCNCC2,42
CC=1C=CC=C(C1)C2CCNC2C(=O)O,43
CC(N1CCCCC1=O)C(=O)O,44
OC(=O)C1NCCC1C=2C=CC=C(F)C2,45
CC1COCCN1CC=2C=CC(C#N)=CC2F,46
CC1=CC=C(S1)C(=O)N2CCOCC32CCOC3,47
CC1CCN(CC1)C(=O)C=2C=C(F)C=CC2F,48
CN(C)C(=O)CC=1C=CC=CC1Cl,49
CC=1C=CC(=CC1Cl)S(=O)(=O)NC2CCCNC2,50
CNC(=O)C=1C=CC=NC1OC=2C=CC=CC2,51
NC(C1=NOC(=N1)C2CC2)C=3C=CC=CC3,52
OC(=O)C1(CCCC1)C=2C=CC=NC2,53
O=C1NC(=O)C2(CCC2)N1,54
"C[C@@H]1CCCN[C@@H]1C(=O)O |&1:1,6,r|",55
CN1C=C(NC(=O)C2(CCCC2)C#N)C=N1,56
NC(C(=O)N1CCOC2(CCC2)C1)C=3C=CC=CC3,57
CNC=1SN=C(C)C1C(=O)N2CCC(C)CC2,58
O=C(N(CC#N)C1CC1)C2=CC=CS2,59
CC1=NOC(C)=C1NS(=O)(=O)C=2C=CC=CC2Cl,60
CC1=NOC(C)=C1CN2CCCCC2C(=O)N,61
CN1C(C(CCC1=O)C(=O)O)C2=CC=CS2,62
C1CC2(CN1)CCC=3C=CC=CC3O2,63
CC[C@H](N)C(=O)N1CCC2(CCCC2)C1,64
CC=1C=C(Cl)C=CC1S(=O)(=O)N2CCCC2CN,65
CC(CNS(=O)(=O)C)N1CCCCC1C,66
CCC1CCCCN1C(=O)C2CCC2,67
CC1=NOC=2N=C(C)C=C(C(=O)N3CCCC3)C12,68
O=C([C@@H]1CCCO1)N2CCC3(C2)CCCOC3,69
FC(F)OC=1C=CC=CC1C(=O)N2CCOCC2,70
CC1CN(CCN1)S(=O)(=O)C=2C=CC=CC2Cl,71
CC=1C=CC(=C(Cl)C1)S(=O)(=O)N2CCC(N)C2,72
