smiles,RT
CN1C=C(C=N1)S(=O)(=O)N2CCCC2,0
NCC=1C(F)=CC=CC1OC(F)F,1
CSC=1N=C(O)C=C(N1)C(F)(F)F,2
CSC=1N=CC(O)=CN1,3
FC(F)(F)C1CCCNC1=O,4
CC(=CC1CCCC1)C(=O)O,5
CC(O)CNS(=O)(=O)C=1C=C(C)C=CC1C,6
CC=1C=CC(F)=C(C1)S(=O)(=O)N2CCNC(=O)C2,7
CCC1=C(N)C=NN1C=2C=CC=C(Cl)C2,8
FC=1C=CC(Br)=C(C1)C(=O)N2CCNCC2,9
CN1CCN(CC1)S(=O)(=O)C=2C=C(F)C=CC2F,10
OC1(CN2C=NC=3SC=CC3C2=O)CCCCC1,11
O=S(=O)(N1CCCCC1)C=2C=CC=C(C#N)C2,12
CNS(=O)(=O)C=1C=C(C(C)C)C(C)=CC1OC,13
CC(C)(C)C=1N=CC=C(O)N1,14
CC=1C=C(C(C)=CC1Cl)S(=O)(=O)NCCO,15
CC(C)CC1(CO)CCCN1,16
FC=1C(Cl)=CC=CC1C(=O)N2CCOCC2,17
CN1CC(CC1=O)NS(=O)(=O)C=2C=CC=CC2Cl,18
CC(C)(NC(=O)C1CNC(=O)C1)C=2C=CC=CC2,19
CN(C1CCCC=2C=CC=CC12)S(=O)(=O)N,20
CNCC1CCCN1S(=O)(=O)C=2C=CC=C(Cl)C2,21
CC=1C=CC(=CC1C)S(=O)(=O)NCCO,22
CC1(CC1)C=2C=CNN2,23
O=C(N1CC=2C=CC=CC2C1)C3(CCCC3)C#N,24
CC(C)(C)NC(=O)CC1=NOC=2C=CC=CC12,25
CC1(C)COCCN1C(=O)C=2C=CC(F)=C(F)C2,26
FC=1C=CC=C(CC(=O)NC=2SC=CC2C#N)C1,27
NC1CCCS(=O)(=O)C=2C=CC=CC12,28
OC1(CCOCC1)C=2C=CC=CC2,29
CCCNS(=O)(=O)C=1C=CC(C)=C(C)C1,30
CNCC=1C=CC=C(C1)N2CC(C)CS2(=O)=O,31
CS(=O)(=O)NC=1C=CC=CC1N2CCCCC2,32
CCN1C(NC2(CCCC2)C1=O)C3=CN=CS3,33
FC(F)(F)C=1C=CC=CC1C(=O)N2CCSCC2,34
CCC1CCCN(C1)C(=O)C=2C(C)=NSC2NC,35
NC(C=1C=CC=CC1)C(F)(F)F,36
CC(C)C1=NC(CO)=NN1,37
CC=1C=CC(NS(=O)(=O)C=2C=CC=CC2)=NC1,38
CNC=1C=CC(=CC1)S(=O)(=O)N(C)C,39
CC=1C=CN(CC=2C=CC(C#N)=CC2F)C(=O)C1,40
CC(C)CN1C=NC(=C1)S(=O)(=O)N2CCC32CCC3,41
CC1(C)COCCN1CC=2C=CC(C#N)=CC2F,42
CNC(=O)C1CC1C=2C=CC=C(Cl)C2,43
FC=1C=CC=C(F)C1C(=O)N2CCNCC2,44
CC=1C=CC=C(C1)C2CCNC2C(=O)O,45
OC(=O)C1NCCC1C=2C=CC=C(F)C2,46
CC1COCCN1CC=2C=CC(C#N)=CC2F,47
CC1=CC=C(S1)C(=O)N2CCOCC32CCOC3,48
CC1CCN(CC1)C(=O)C=2C=C(F)C=CC2F,49
CC=1C=CC(=CC1Cl)S(=O)(=O)NC2CCCNC2,50
OC(=O)C1(CCCC1)C=2C=CC=NC2,51
O=C1NC(=O)C2(CCC2)N1,52
"C[C@@H]1CCCN[C@@H]1C(=O)O |&1:1,6,r|",53
NC(C(=O)N1CCOC2(CCC2)C1)C=3C=CC=CC3,54
O=C(N(CC#N)C1CC1)C2=CC=CS2,55
CC1=NOC(C)=C1NS(=O)(=O)C=2C=CC=CC2Cl,56
CC1=NOC(C)=C1CN2CCCCC2C(=O)N,57
