Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
OCC1(CCCC1)C=2C=CC=CC2,3.999*,2.195*,3.573*,4.481*,4.064*,2.957*,4.387*,4.289*
CN1C=C(C=N1)S(=O)(=O)N2CCCC2,2.255,2.265,2.377,2.39,2.812,2.719,2.836,2.678
NCC=1C(F)=CC=CC1OC(F)F,1.823,1.891*,1.64,2.464,2.145,2.292,2.309,2.353
CSC=1N=C(O)C=C(N1)C(F)(F)F,3.034,2.349*,2.929,1.863,3.358,2.622,3.605,2.487
CC=1ON=C(C1C(=O)O)C=2C=CC=CC2Cl,3.375,1.728,3.455,1.358*,3.755,2.102,3.862,1.923
CSC=1N=CC(O)=CN1,1.924,1.882,1.987,1.797,2.292,2.229,2.524,2.256
FC(F)(F)C1CCCNC1=O,1.96,1.963,1.728,1.738,2.353,2.332,2.545,2.363
NS(=O)(=O)CC=1C=CC(F)=CC1,2.143*,2.152*,2.1,2.109,2.713,2.613,2.913*,2.543
N#CC1(CCOCC1)N2CCCC2,1.402*,???,1.391*,???,???,???,???,????
CC(=CC1CCCC1)C(=O)O,3.8375,2.765,3.46,1.718,4.041,2.944,4.254,2.939
CC(O)CNS(=O)(=O)C=1C=C(C)C=CC1C,3.027,3.028,2.979,2.992,3.486,3.361,3.602,3.484
CC=1C=CC(F)=C(C1)S(=O)(=O)N2CCNC(=O)C2,2.702,2.704,2.889,2.894,3.276,3.155,3.334,3.219
CCC1=C(N)C=NN1C=2C=CC=C(Cl)C2,2.47,3.222,2.337,3.228,2.999,3.579,3.005,3.877
FC=1C=CC(Br)=C(C1)C(=O)N2CCNCC2,1.919,2.061,1.731,2.651,2.466,2.547,2.41,3.001*
CN1CCN(CC1)S(=O)(=O)C=2C=C(F)C=CC2F,2.216,3.169,2.23,3.333,2.78,3.538,2.744,3.801
CC1(CCCCN1CC2=CN=CS2)C(=O)N,0.935,2.615,1.012,2.846,1.667,3.03,1.633,3.278
OC1(CN2C=NC=3SC=CC3C2=O)CCCCC1,2.995,2.998,3.016,3.017,3.451,3.364*three peaks,3.564,3.569
O=S(=O)(N1CCCCC1)C=2C=CC=C(C#N)C2,3.901,3.9,3.796,3.797,4.364,4.266,4.317,4.305
CNS(=O)(=O)C=1C=C(C(C)C)C(C)=CC1OC,3.97,3.966,3.758,3.729,4.328,4.235,4.401,4.414
CC(C)(C)C=1N=CC=C(O)N1,1.314,1.759,1.321,1.763,1.812,2.082,1.996,2.292
CC=1C=C(C(C)=CC1Cl)S(=O)(=O)NCCO,3.372,3.367,3.299,3.277,3.834,3.711,3.912,3.896
CC(C)C(N)C1=NC(=NO1)C=2C=CC=CC2,2.683,3.774,2.631,3.524,3.185,3.921,3.21,4.36
CC(C)CC1(CO)CCCN1,1.798,1.415,1.467,2.389,2.292,1.914,2.31,2.505
FC=1C(Cl)=CC=CC1C(=O)N2CCOCC2,2.999,3,2.981,2.988,3.499,3.408,3.611,3.578
CCC1=NN=C(SC2CCCCNC2=O)N1,1.775,1.923,1.922,2.08,2.318,2.309,2.439,2.49
CN1CC(CC1=O)NS(=O)(=O)C=2C=CC=CC2Cl,2.437,2.439,2.66,2.665,3.092,2.943,3.074,3.024
CC(C)(NC(=O)C1CNC(=O)C1)C=2C=CC=CC2,2.452,2.448,2.454,2.472,2.992,2.836,3.084,3.037
CN(C1CCCC=2C=CC=CC12)S(=O)(=O)N,3.495,3.493,3.409,3.41,3.973,3.846,4.016,4.008
CNCC1CCCN1S(=O)(=O)C=2C=CC=C(Cl)C2,2.526,2.288,2.459,4.775,3.101,2.827,3.072,4.536
NC(=O)C1C2CC3CC(C2)CC1C3,3.168,3.161,3.023,3.03,3.583,3.471,3.925,3.987
CC=1C=CC(=CC1C)S(=O)(=O)NCCO,2.735,2.733,2.754,2.758,3.277,3.133,3.327,3.316
CC1(CC1)C=2C=CNN2,1.823,2.624,1.597,2.506,2.362,2.995,2.453,3.384
O=C(N1CC=2C=CC=CC2C1)C3(CCCC3)C#N,4.023,4.02,3.827,3.816,4.425,4.334,4.442,4.483
N[C@H]1CCN(C1)C(=O)C=2C=CC=C(F)C2F,1.728,1.779,1.486,2.29,2.326,2.286,2.262,2.499
CC(C)(C)NC(=O)CC1=NOC=2C=CC=CC12,3.483,3.491,3.412,3.419,3.887,3.773,3.997,3.97
CC1(C)COCCN1C(=O)C=2C=CC(F)=C(F)C2,3.63,3.637,3.407,3.413,4.026,3.915,4.097,4.076
